paper_id,title,doi,year,authors,choosen,choosen_state,notes,solution_name,in_final_corpus,has_solution_name
bai,Clear Up Confusion: Advancing Cross-Domain Few-Shot Relation Extraction through Relation-Aware Prompt Learning,,2024.0,Bai G.; Lu C.; Guo D.; Li S.; Liu Y.; Zhang Z.; Dong G.; Liu R.; Sun Y.,1.0,Yes,Domain adaptation and might be semantic similarity. Prompt based techniques were used. ,ClearRE,True,True
chen,DiffFSRE: Diffusion-Enhanced Prototypical Network for Few-Shot Relation Extraction,10.3390/e26050352,2024.0,Chen Y.; Shi B.,1.0,Yes,Data augmentation for RE within diffusion models. Objective is to train prototypical models with enhanced features. It introduces attention mechanisms also. ,DiffFSRE,True,True
chen2,KnowPrompt: Knowledge-aware Prompt-tuning with Synergistic Optimization for Relation Extraction,10.1145/3485447.3511998,2022.0,Chen X.; Zhang N.; Xie X.; Deng S.; Yao Y.; Tan C.; Huang F.; Si L.; Chen H.,1.0,Yes,"Prompt engineering. It tries to give context and formulate RE like fact check, moreless.",KnowPrompt,True,True
chen3,PTCAS: Prompt tuning with continuous answer search for relation extraction,10.1016/j.ins.2023.120060,2024.0,Chen Y.; Shi B.; Xu K.,1.0,Yes,Exploiting semantic representations to verbalization through KG representation models,PTCAS,True,True
chia,RelationPrompt: Leveraging Prompts to Generate Synthetic Data for Zero-Shot Relation Triplet Extraction,,2022.0,Chia Y.K.; Bing L.; Poria S.; Si L.,1.0,Yes,Reformulates RE as data augmentation for doing zeroshot RE with other model. They unify prompts to structure text and contrain the generation of PLMs (LLMs).  ,RelationPrompt,True,True
gao,Fine-Grained Relation Extraction for Drug Instructions Using Contrastive Entity Enhancement,10.1109/ACCESS.2023.3279288,2023.0,Gao F.; Song X.; Gu J.; Zhang L.; Liu Y.; Zhang X.; Liu Y.; Jing S.,1.0,Yes,Semantic similarity and enahncing representations for better extract drug-drug interactions. Biomedical domain.,CEE (Contrastive Entity Enhancement),True,True
guo,KBPT: knowledge-based prompt tuning for zero-shot relation triplet extraction,10.7717/PEERJ-CS.2014,2024.0,Guo Q.; Guo Y.; Zhao J.,1.0,Yes,Prompt engineering to extract directly triplets from texts. ,KBPT (Knowledge-Based Prompt Tuning),True,True
halike,Zero-Shot Relation Triple Extraction with Prompts for Low-Resource Languages,10.3390/app13074636,2023.0,Halike A.; Wumaier A.; Yibulayin T.,1.0,Yes,"Relation triplet extraction in low resources, totally aligned with the scope.",Zero-Shot-Prompt-RE for Uyghur,True,True
han,A Zero-Shot Framework for Low-Resource Relation Extraction via Distant Supervision and Large Language Models,10.3390/electronics14030593,2025.0,Han P.; Liang G.; Wang Y.,1.0,Yes,Semantic similarity. It makes RE for low resources with LLMs and DSRE to improve representations of noisy and incorrect data. ,LoRE,True,True
haoran,Improved Chinese Few-Shot relation extraction using Large Language Model for Data Augmentation and Prototypical Network,10.1109/SMC54092.2024.10831350,2024.0,Haoran X.; Lou K.; Chan S.,1.0,Yes,Data augmentation with LLMs and protrotyping networks to agroup data. Data augmentation for LLMs and protrotyping networks afterwards,CFSRE model (LLM-based Chinese Few-Shot Relation Extraction),True,True
hsu,Prompt-Learning for Cross-Lingual Relation Extraction,10.1109/IJCNN54540.2023.10192002,2023.0,Hsu C.; Zan C.; Ding L.; Wang L.; Wang X.; Liu W.; Lin F.; Hu W.,1.0,Yes,Multilingual prompt learning for transformers and language adaptation for RE.,Prompt‑XRE,True,True
hu,GDA: Generative Data Augmentation Techniques for Relation Extraction Tasks,,2023.0,Hu X.; Liu A.; Tan Z.; Zhang X.; Zhang C.; King I.; Yu P.S.,1.0,Yes,Offers a system to make data augmentation by LLMs for RE. It focuses on triplet extraction. ,GDA,True,True
hu2,SelfLRE: Self-refining Representation Learning for Low-resource Relation Extraction,10.1145/3539618.3592058,2023.0,Hu X.; Chen J.; Meng S.; Wen L.; Yu P.S.,1.0,Yes,The name makes me doubt. IT could talk about semantic similarity. Althought it talks about self-training and self-ensembling.,SelfLRE,True,True
hu3,Gradient Imitation Reinforcement Learning for Low Resource Relation Extraction,,2021.0,Hu X.; Zhang C.; Yang Y.; Li X.; Lin L.; Wen L.; Yu P.S.,1.0,Yes,"This paper uses reinforcement learning to imitate gradient descent behaviour. Also, seems to make data augmentation from text. Guide the self-trainign through dsre labels and then reinforcement learning over all process. ",GradLRE,True,True
jian,A Multi-granularity Contrastive Learning for Distantly Supervised Relation Extraction,10.1007/978-981-97-5663-6_30,2024.0,Jian Z.; Liu S.; Yin H.,1.0,Yes,Multi-Granularity Contrastive Learning for Distantly Supervised Relation Extraction (MGCL) to enahnce the representations of rare data.,,False,False
li2,CoPrompt: A Contrast-prompt Tuning Method for Multiparty Dialogue Character Relationship Extraction,10.1145/3639233.3639239,2023.0,Li Y.; Jiang Y.; Chen J.; Wang L.; Tao Y.; Zhang Y.,1.0,Yes,Contrastive  learning through prompts tuning to perform dialogue RE. As dialogue RE is considered in because it is unstructured text. ,CoPrompt,True,True
liu,Aspect sentiment triplet extraction based on data augmentation and task feedback,10.1007/s10844-024-00855-y,2024.0,Liu S.; Lu T.; Li K.; Liu W.,1.0,Yes,Aspect sentiment triplet extraction.  (!),BMRC with Data Augmentation and Task Feedback,True,True
liu2,RexUIE: A Recursive Method with Explicit Schema Instructor for Universal Information Extraction,,2023.0,Liu C.; Zhao F.; Kang Y.; Zhang J.; Zhou X.; Sun C.; Kuang K.; Wu F.,1.0,Yes,"KGC. It speaks about UIE in terms of entities and relations. Also, mentions quatuples and quintuples, is said n-ary relations.",RexUIE,True,True
liu5_349,Empowering Few-Shot Relation Extraction with The Integration of Traditional RE Methods and Large Language Models,10.1007/978-981-97-5569-1_22,2024.0,Liu Y.; Zhang K.; Gan A.; Yue L.; Hu F.; Liu Q.; Chen E.,1.0,Yes,"Use LLMs and traditional RE methods as a combinated one. It is suposes to inject the prior knowledge of LLM to the RE system, but might be they put it inverse",,False,False
liu_2,Domain-aware and Co-adaptive Feature Transformation for Domain Adaption Few-shot Relation Extraction,,2024.0,Liu Y.; Dai F.; Gu X.; Zhai M.; Li B.; Zhang M.,1.0,Yes,Co-training and protoyping for few-shot RE. ,"DCFT (Domain-aware and Co-adaptive Feature Transformation)
",True,True
lu,Summarization as Indirect Supervision for Relation Extraction,,2022.0,Lu K.; Hsu I.-H.; Zhou W.; Ma M.D.; Chen M.,1.0,Yes,Transformers to extracting triplets constraining the decoding process.,SURE,True,True
lu2,Reasoning Makes Good Annotators: An Automatic Task-specific Rules Distilling Framework for Low-resource Relation Extraction,,2023.0,Lu Y.; Shi H.; Li J.; Chen T.; Wang X.; Tang S.,1.0,Yes,It goes beyond data augmentation with rules made by PLMs. Guidance of PLM to reasoning and then summarise this reasoning into rules. ,ARIA,True,True
